Causas (lista reducida);Sexo;Edad;Total
001-102 I-XXII.Todas las causas;Mujeres;De 60 a 64 años;7.107
001-102 I-XXII.Todas las causas;Mujeres;De 65 a 69 años;8.816
001-102 I-XXII.Todas las causas;Mujeres;De 70 a 74 años;13.274
001-102 I-XXII.Todas las causas;Mujeres;De 75 a 79 años;20.192
001-102 I-XXII.Todas las causas;Mujeres;De 80 a 84 años;34.834
001-102 I-XXII.Todas las causas;Mujeres;De 85 a 89 años;58.838
001-102 I-XXII.Todas las causas;Mujeres;De 90 a 94 años;55.578
001-102 I-XXII.Todas las causas;Mujeres;De 95 años y más;31.068
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Todas las edades;80.796
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;Menores de 1 año;17
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 1 a 4 años;8
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 5 a 9 años;4
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 10 a 14 años;8
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 15 a 19 años;15
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 20 a 24 años;20
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 25 a 29 años;60
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 30 a 34 años;79
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 35 a 39 años;147
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 40 a 44 años;240
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 45 a 49 años;538
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 50 a 54 años;961
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 55 a 59 años;1.599
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 60 a 64 años;2.546
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 65 a 69 años;3.705
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 70 a 74 años;6.062
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 75 a 79 años;9.345
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 80 a 84 años;13.543
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 85 a 89 años;19.692
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 90 a 94 años;15.224
001-008 I.Enfermedades infecciosas y parasitarias;Ambos sexos;De 95 años y más;6.983
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;41.837
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;Menores de 1 año;8
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 1 a 4 años;2
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 5 a 9 años;3
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 10 a 14 años;5
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 15 a 19 años;10
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 20 a 24 años;12
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 25 a 29 años;43
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 30 a 34 años;46
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 35 a 39 años;99
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 40 a 44 años;165
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 45 a 49 años;371
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 50 a 54 años;685
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 55 a 59 años;1.104
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 60 a 64 años;1.836
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 65 a 69 años;2.643
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 70 a 74 años;4.093
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 75 a 79 años;5.958
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 80 a 84 años;7.570
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 85 a 89 años;9.348
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 90 a 94 años;5.828
001-008 I.Enfermedades infecciosas y parasitarias;Hombres;De 95 años y más;2.008
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;38.959
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;Menores de 1 año;9
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 1 a 4 años;6
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 5 a 9 años;1
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 10 a 14 años;3
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 15 a 19 años;5
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 20 a 24 años;8
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 25 a 29 años;17
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 30 a 34 años;33
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 35 a 39 años;48
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 40 a 44 años;75
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 45 a 49 años;167
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 50 a 54 años;276
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 55 a 59 años;495
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 60 a 64 años;710
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 65 a 69 años;1.062
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 70 a 74 años;1.969
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 75 a 79 años;3.387
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 80 a 84 años;5.973
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 85 a 89 años;10.344
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 90 a 94 años;9.396
001-008 I.Enfermedades infecciosas y parasitarias;Mujeres;De 95 años y más;4.975
00A Covid-19 Virus identificado;Ambos sexos;Todas las edades;60.358
00A Covid-19 Virus identificado;Ambos sexos;Menores de 1 año;4
00A Covid-19 Virus identificado;Ambos sexos;De 1 a 4 años;0
00A Covid-19 Virus identificado;Ambos sexos;De 5 a 9 años;2
00A Covid-19 Virus identificado;Ambos sexos;De 10 a 14 años;2
00A Covid-19 Virus identificado;Ambos sexos;De 15 a 19 años;8
00A Covid-19 Virus identificado;Ambos sexos;De 20 a 24 años;10
00A Covid-19 Virus identificado;Ambos sexos;De 25 a 29 años;38
00A Covid-19 Virus identificado;Ambos sexos;De 30 a 34 años;39
00A Covid-19 Virus identificado;Ambos sexos;De 35 a 39 años;90
00A Covid-19 Virus identificado;Ambos sexos;De 40 a 44 años;157
00A Covid-19 Virus identificado;Ambos sexos;De 45 a 49 años;351
00A Covid-19 Virus identificado;Ambos sexos;De 50 a 54 años;641
00A Covid-19 Virus identificado;Ambos sexos;De 55 a 59 años;1.179
00A Covid-19 Virus identificado;Ambos sexos;De 60 a 64 años;2.077
00A Covid-19 Virus identificado;Ambos sexos;De 65 a 69 años;3.064
00A Covid-19 Virus identificado;Ambos sexos;De 70 a 74 años;4.980
00A Covid-19 Virus identificado;Ambos sexos;De 75 a 79 años;7.511
00A Covid-19 Virus identificado;Ambos sexos;De 80 a 84 años;10.404
00A Covid-19 Virus identificado;Ambos sexos;De 85 a 89 años;14.468
00A Covid-19 Virus identificado;Ambos sexos;De 90 a 94 años;10.700
00A Covid-19 Virus identificado;Ambos sexos;De 95 años y más;4.633
00A Covid-19 Virus identificado;Hombres;Todas las edades;32.498
00A Covid-19 Virus identificado;Hombres;Menores de 1 año;1
00A Covid-19 Virus identificado;Hombres;De 1 a 4 años;0
00A Covid-19 Virus identificado;Hombres;De 5 a 9 años;2
00A Covid-19 Virus identificado;Hombres;De 10 a 14 años;0
00A Covid-19 Virus identificado;Hombres;De 15 a 19 años;5
00A Covid-19 Virus identificado;Hombres;De 20 a 24 años;4
00A Covid-19 Virus identificado;Hombres;De 25 a 29 años;25
00A Covid-19 Virus identificado;Hombres;De 30 a 34 años;17
00A Covid-19 Virus identificado;Hombres;De 35 a 39 años;57
00A Covid-19 Virus identificado;Hombres;De 40 a 44 años;107
00A Covid-19 Virus identificado;Hombres;De 45 a 49 años;233
00A Covid-19 Virus identificado;Hombres;De 50 a 54 años;456
00A Covid-19 Virus identificado;Hombres;De 55 a 59 años;808
00A Covid-19 Virus identificado;Hombres;De 60 a 64 años;1.516
00A Covid-19 Virus identificado;Hombres;De 65 a 69 años;2.205
00A Covid-19 Virus identificado;Hombres;De 70 a 74 años;3.418
00A Covid-19 Virus identificado;Hombres;De 75 a 79 años;4.872
00A Covid-19 Virus identificado;Hombres;De 80 a 84 años;6.007
00A Covid-19 Virus identificado;Hombres;De 85 a 89 años;7.143
00A Covid-19 Virus identificado;Hombres;De 90 a 94 años;4.246
00A Covid-19 Virus identificado;Hombres;De 95 años y más;1.376
00A Covid-19 Virus identificado;Mujeres;Todas las edades;27.860
00A Covid-19 Virus identificado;Mujeres;Menores de 1 año;3
00A Covid-19 Virus identificado;Mujeres;De 1 a 4 años;0
00A Covid-19 Virus identificado;Mujeres;De 5 a 9 años;0
00A Covid-19 Virus identificado;Mujeres;De 10 a 14 años;2
00A Covid-19 Virus identificado;Mujeres;De 15 a 19 años;3
00A Covid-19 Virus identificado;Mujeres;De 20 a 24 años;6
00A Covid-19 Virus identificado;Mujeres;De 25 a 29 años;13
00A Covid-19 Virus identificado;Mujeres;De 30 a 34 años;22
00A Covid-19 Virus identificado;Mujeres;De 35 a 39 años;33
00A Covid-19 Virus identificado;Mujeres;De 40 a 44 años;50
00A Covid-19 Virus identificado;Mujeres;De 45 a 49 años;118
00A Covid-19 Virus identificado;Mujeres;De 50 a 54 años;185
00A Covid-19 Virus identificado;Mujeres;De 55 a 59 años;371
00A Covid-19 Virus identificado;Mujeres;De 60 a 64 años;561
00A Covid-19 Virus identificado;Mujeres;De 65 a 69 años;859
00A Covid-19 Virus identificado;Mujeres;De 70 a 74 años;1.562
00A Covid-19 Virus identificado;Mujeres;De 75 a 79 años;2.639
00A Covid-19 Virus identificado;Mujeres;De 80 a 84 años;4.397
00A Covid-19 Virus identificado;Mujeres;De 85 a 89 años;7.325
00A Covid-19 Virus identificado;Mujeres;De 90 a 94 años;6.454
00A Covid-19 Virus identificado;Mujeres;De 95 años y más;3.257
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;Todas las edades;14.481
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;Menores de 1 año;0
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 1 a 4 años;1
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 5 a 9 años;0
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 10 a 14 años;1
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 15 a 19 años;1
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 20 a 24 años;5
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 25 a 29 años;9
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 30 a 34 años;7
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 35 a 39 años;13
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 40 a 44 años;25
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 45 a 49 años;50
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 50 a 54 años;115
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 55 a 59 años;160
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 60 a 64 años;246
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 65 a 69 años;344
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 70 a 74 años;681
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 75 a 79 años;1.204
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 80 a 84 años;2.228
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 85 a 89 años;3.911
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 90 a 94 años;3.546
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;De 95 años y más;1.934
00B Covid-19 Virus no identificado (sospechoso);Hombres;Todas las edades;6.419
00B Covid-19 Virus no identificado (sospechoso);Hombres;Menores de 1 año;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 1 a 4 años;1
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 5 a 9 años;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 10 a 14 años;1
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 15 a 19 años;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 20 a 24 años;4
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 25 a 29 años;7
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 30 a 34 años;3
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 35 a 39 años;10
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 40 a 44 años;18
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 45 a 49 años;36
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 50 a 54 años;85
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 55 a 59 años;108
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 60 a 64 años;167
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 65 a 69 años;237
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 70 a 74 años;431
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 75 a 79 años;740
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 80 a 84 años;1.142
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 85 a 89 años;1.681
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 90 a 94 años;1.227
00B Covid-19 Virus no identificado (sospechoso);Hombres;De 95 años y más;521
00B Covid-19 Virus no identificado (sospechoso);Mujeres;Todas las edades;8.062
00B Covid-19 Virus no identificado (sospechoso);Mujeres;Menores de 1 año;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 1 a 4 años;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 5 a 9 años;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 10 a 14 años;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 15 a 19 años;1
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 20 a 24 años;1
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 25 a 29 años;2
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 30 a 34 años;4
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 35 a 39 años;3
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 40 a 44 años;7
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 45 a 49 años;14
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 50 a 54 años;30
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 55 a 59 años;52
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 60 a 64 años;79
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 65 a 69 años;107
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 70 a 74 años;250
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 75 a 79 años;464
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 80 a 84 años;1.086
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 85 a 89 años;2.230
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 90 a 94 años;2.319
00B Covid-19 Virus no identificado (sospechoso);Mujeres;De 95 años y más;1.413
001 Enfermedades infecciosas intestinales;Ambos sexos;Todas las edades;959
001 Enfermedades infecciosas intestinales;Ambos sexos;Menores de 1 año;3
001 Enfermedades infecciosas intestinales;Ambos sexos;De 1 a 4 años;0
001 Enfermedades infecciosas intestinales;Ambos sexos;De 5 a 9 años;0
001 Enfermedades infecciosas intestinales;Ambos sexos;De 10 a 14 años;1
001 Enfermedades infecciosas intestinales;Ambos sexos;De 15 a 19 años;0
001 Enfermedades infecciosas intestinales;Ambos sexos;De 20 a 24 años;0
001 Enfermedades infecciosas intestinales;Ambos sexos;De 25 a 29 años;0
001 Enfermedades infecciosas intestinales;Ambos sexos;De 30 a 34 años;4
001 Enfermedades infecciosas intestinales;Ambos sexos;De 35 a 39 años;0
001 Enfermedades infecciosas intestinales;Ambos sexos;De 40 a 44 años;3
001 Enfermedades infecciosas intestinales;Ambos sexos;De 45 a 49 años;3
001 Enfermedades infecciosas intestinales;Ambos sexos;De 50 a 54 años;7
001 Enfermedades infecciosas intestinales;Ambos sexos;De 55 a 59 años;8
001 Enfermedades infecciosas intestinales;Ambos sexos;De 60 a 64 años;14
001 Enfermedades infecciosas intestinales;Ambos sexos;De 65 a 69 años;24
001 Enfermedades infecciosas intestinales;Ambos sexos;De 70 a 74 años;33
001 Enfermedades infecciosas intestinales;Ambos sexos;De 75 a 79 años;76
001 Enfermedades infecciosas intestinales;Ambos sexos;De 80 a 84 años;150
001 Enfermedades infecciosas intestinales;Ambos sexos;De 85 a 89 años;275
001 Enfermedades infecciosas intestinales;Ambos sexos;De 90 a 94 años;244
001 Enfermedades infecciosas intestinales;Ambos sexos;De 95 años y más;114
001 Enfermedades infecciosas intestinales;Hombres;Todas las edades;384
001 Enfermedades infecciosas intestinales;Hombres;Menores de 1 año;0
001 Enfermedades infecciosas intestinales;Hombres;De 1 a 4 años;0
001 Enfermedades infecciosas intestinales;Hombres;De 5 a 9 años;0
001 Enfermedades infecciosas intestinales;Hombres;De 10 a 14 años;1
001 Enfermedades infecciosas intestinales;Hombres;De 15 a 19 años;0
001 Enfermedades infecciosas intestinales;Hombres;De 20 a 24 años;0
001 Enfermedades infecciosas intestinales;Hombres;De 25 a 29 años;0
001 Enfermedades infecciosas intestinales;Hombres;De 30 a 34 años;2
001 Enfermedades infecciosas intestinales;Hombres;De 35 a 39 años;0
001 Enfermedades infecciosas intestinales;Hombres;De 40 a 44 años;3
001 Enfermedades infecciosas intestinales;Hombres;De 45 a 49 años;2
001 Enfermedades infecciosas intestinales;Hombres;De 50 a 54 años;3
001 Enfermedades infecciosas intestinales;Hombres;De 55 a 59 años;6
001 Enfermedades infecciosas intestinales;Hombres;De 60 a 64 años;9
001 Enfermedades infecciosas intestinales;Hombres;De 65 a 69 años;10
001 Enfermedades infecciosas intestinales;Hombres;De 70 a 74 años;20
001 Enfermedades infecciosas intestinales;Hombres;De 75 a 79 años;43
001 Enfermedades infecciosas intestinales;Hombres;De 80 a 84 años;60
001 Enfermedades infecciosas intestinales;Hombres;De 85 a 89 años;99
001 Enfermedades infecciosas intestinales;Hombres;De 90 a 94 años;90
001 Enfermedades infecciosas intestinales;Hombres;De 95 años y más;36
001 Enfermedades infecciosas intestinales;Mujeres;Todas las edades;575
001 Enfermedades infecciosas intestinales;Mujeres;Menores de 1 año;3
001 Enfermedades infecciosas intestinales;Mujeres;De 1 a 4 años;0
001 Enfermedades infecciosas intestinales;Mujeres;De 5 a 9 años;0
001 Enfermedades infecciosas intestinales;Mujeres;De 10 a 14 años;0
001 Enfermedades infecciosas intestinales;Mujeres;De 15 a 19 años;0
001 Enfermedades infecciosas intestinales;Mujeres;De 20 a 24 años;0
001 Enfermedades infecciosas intestinales;Mujeres;De 25 a 29 años;0
001 Enfermedades infecciosas intestinales;Mujeres;De 30 a 34 años;2
001 Enfermedades infecciosas intestinales;Mujeres;De 35 a 39 años;0
001 Enfermedades infecciosas intestinales;Mujeres;De 40 a 44 años;0
001 Enfermedades infecciosas intestinales;Mujeres;De 45 a 49 años;1
001 Enfermedades infecciosas intestinales;Mujeres;De 50 a 54 años;4
001 Enfermedades infecciosas intestinales;Mujeres;De 55 a 59 años;2
001 Enfermedades infecciosas intestinales;Mujeres;De 60 a 64 años;5
001 Enfermedades infecciosas intestinales;Mujeres;De 65 a 69 años;14
001 Enfermedades infecciosas intestinales;Mujeres;De 70 a 74 años;13
001 Enfermedades infecciosas intestinales;Mujeres;De 75 a 79 años;33
001 Enfermedades infecciosas intestinales;Mujeres;De 80 a 84 años;90
001 Enfermedades infecciosas intestinales;Mujeres;De 85 a 89 años;176
001 Enfermedades infecciosas intestinales;Mujeres;De 90 a 94 años;154
001 Enfermedades infecciosas intestinales;Mujeres;De 95 años y más;78
002 Tuberculosis y sus efectos tardíos;Ambos sexos;Todas las edades;198
002 Tuberculosis y sus efectos tardíos;Ambos sexos;Menores de 1 año;0
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 1 a 4 años;0
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 5 a 9 años;0
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 10 a 14 años;0
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 15 a 19 años;0
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 20 a 24 años;0
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 25 a 29 años;2
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 30 a 34 años;4
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 35 a 39 años;2
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 40 a 44 años;7
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 45 a 49 años;9
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 50 a 54 años;15
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 55 a 59 años;5
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 60 a 64 años;12
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 65 a 69 años;11
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 70 a 74 años;11
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 75 a 79 años;17
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 80 a 84 años;28
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 85 a 89 años;39
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 90 a 94 años;28
002 Tuberculosis y sus efectos tardíos;Ambos sexos;De 95 años y más;8
002 Tuberculosis y sus efectos tardíos;Hombres;Todas las edades;124
002 Tuberculosis y sus efectos tardíos;Hombres;Menores de 1 año;0
002 Tuberculosis y sus efectos tardíos;Hombres;De 1 a 4 años;0
002 Tuberculosis y sus efectos tardíos;Hombres;De 5 a 9 años;0
002 Tuberculosis y sus efectos tardíos;Hombres;De 10 a 14 años;0
002 Tuberculosis y sus efectos tardíos;Hombres;De 15 a 19 años;0
002 Tuberculosis y sus efectos tardíos;Hombres;De 20 a 24 años;0
002 Tuberculosis y sus efectos tardíos;Hombres;De 25 a 29 años;1
002 Tuberculosis y sus efectos tardíos;Hombres;De 30 a 34 años;4
002 Tuberculosis y sus efectos tardíos;Hombres;De 35 a 39 años;2
002 Tuberculosis y sus efectos tardíos;Hombres;De 40 a 44 años;7
002 Tuberculosis y sus efectos tardíos;Hombres;De 45 a 49 años;3
002 Tuberculosis y sus efectos tardíos;Hombres;De 50 a 54 años;12
002 Tuberculosis y sus efectos tardíos;Hombres;De 55 a 59 años;3
002 Tuberculosis y sus efectos tardíos;Hombres;De 60 a 64 años;11
